184,"ช่วยผู้อื่นมิให้ต้องรับโทษ, ให้รับโทษน้อยลง",,"ทําให้เสียหาย, ทําลาย, ซ่อนเร้น, เอาไปเสีย, สูญหาย",
185,"ทําให้เสียหาย, ทําลาย, ซ่อนเร้น, เอาไปเสีย, สูญหาย, ไร้ประโยชน์","ทรัพย์, เอกสาร","ได้ส่งไว้ต่อศาล, ที่ศาลให้รักษาไว้ในการพิจารณาคดี",
186,"ทําให้เสียหาย, ทําลาย, ซ่อนเร้น, เอาไปเสีย, สูญหาย, ไร้ประโยชน์",ทรัพย์สินที่ได้มีคําพิพากษาให้ริบ,,
187,"ทําให้เสียหาย, ทําลาย, ซ่อนเร้น, เอาไปเสีย, สูญหาย, ไร้ประโยชน์",ทรัพย์ที่ถูกยึดหรืออายัด หรือที่ตนรู้ว่าน่าจะถูกยึดหรืออายัด,,
188,"ทําให้เสียหาย, ทําลาย, ซ่อนเร้น, เอาไปเสีย, สูญหาย, ไร้ประโยชน์","พินัยกรรม, เอกสาร",เกิดความเสียหาย,
189,ช่วยผู้อื่น,"ผู้กระทําความผิด, ผู้ต้องหาว่ากระทําความผิด","เพื่อไม่ให้ต้องโทษ, เพื่อไม่ให้ถูกจับกุม",
190,"หลบหนี, แหกที่คุมขัง","ศาล, เจ้าพนักงาน","ระหว่างที่ถูกคุมขัง, กระทําโดยมีหรือใช้อาวุธปืน, ใช้กําลัง, ประทุษร้าย, ขู่เข็ญ",
191,กระทําให้ผู้ที่ถูกคุมขังหลุดพ้นจากการคุมขัง,"พนักงานอัยการ, พนักงานสอบสวน, เจ้าพนักงานผู้มีอํานาจสืบสวนคดีอาญา",,
192,"ให้พํานัก, ซ่อนเร้น, ช่วย","ศาล, พนักงานสอบสวน, เจ้าพนักงานผู้มีอํานาจสืบสวนคดีอาญา",เพื่อไม่ให้ถูกจับกุม,
193,,,"เพื่อช่วยบิดา, มารดา, บุตร, สามี, ภริยา","184, 187, 192"
194,เข้าไปในเขตกำหนด,ศาล,ต้องคำพิพากษาห้ามเข้าเขตกำหนด,45
195,หลบหนี,ศาล,สถานพยาบาล,49
196,ฝ่าฝืนคําสั่งห้าม,ศาล,,50
197,"ประทุษร้าย, ขู่เข็ญ, ให้ประโยชน์, รับว่าจะให้ประโยชน์",,การขายทอดตลาด,
198,"ดูหมิ่น, กระทำการขัดขวาง","ศาล, ผู้พิพากษา","การพิจารณาคดี, การพิพากษา",
199,"ลอบฝัง, ซ่อนเร้น, ย้าย, ทําลาย","ศพ, ส่วนของศพ","การเกิดการตาย, เหตุแห่งการตาย",
,,,,
240,ทําปลอมขึ้นซึ่งเงินตรา ,รัฐบาล,รัฐบาลออกใช้หรือให้อํานาจให้ออกใช้,
241,แปลงเงินตรา,รัฐบาล,,
242,ทุจริตเหรียญกระษาปณ์,"รัฐบาล, ราชอาณาจักร",น้ําหนักลดลง,
243,นำเข้า,ราชอาณาจักร,,"240, 241"
244,นําออก,ของปลอม,,"240, 241"
245,ได้มา,ของปลอม,"ไม่รู้, แต่ภายหลังรู้","240, 241"
246,"ทํา, ปลอมแปลงเงินตรา","เครื่องมือ, วัตถุ, รัฐบาล",,
247,ทํา,รัฐบาลต่างประเทศ,,"240, 241, 242, 243, 244, 245, 246, 248, 249"
248,ทำ,,,"240, 241, 247"
249,,"บัตร, โลหะธาตุ",คล้ายคลึ่ง,
,,,,
269/1,ทำ,บัตรอีเล็กทรอนิกส์,"เติม, ตัดทอน",
269/2,ทำ,"เครื่องมือ, วัตถุ",,269/1
269/3,ส่งออก,ราชอาณาจักร,,"269/1, 269/2"
269/4,"มี, ใช้",ของปลอม,,269/1
269/5,ใช้,บัตรอีเล็กทรอนิกส์,,
269/6,มี,บัตรอีเล็กทรอนิกส์,ความเสียหาย,269/5
269/7,,บัตรอีเล็กทรอนิกส์,,"269/1, 269/2, 269/3, 269/4, 269/5, 269/6"
269/8,ทำ,หนังสือเดินทาง,,
269/9,"มี, ใช้",หนังสือเดินทาง,,269/8
269/10,"นำเข้า, ส่งออก","หนังสือเดินทาง, ราชอาณาจักร",,269/8
269/11,ใช้,หนังสือเดินทาง,,
269/12,ทำปลอม,"ดวงตรา, รอยตรา, แผ่นประตรวจลงตรา",,
269/13,ใช้,"ดวงตรา, รอยตรา, แผ่นประตรวจลงตรา",,269/12
269/14,"นำเข้า, ส่งออก","ดวงตรา, รอยตรา, แผ่นประตรวจลงตรา, ราชอาณาจักร",,269/12
269/15,ใช้,"ดวงตรา, รอยตรา, แผ่นประตรวจลงตรา",,269/13
,,,,
366,,,ยอมความ,"361, 36, 363, 364"
367,ถาม,"เจ้าพนักงาน, ชื่อ, ที่อยู่",,
368,ทราบ,"คำสั่ง, เจ้าพนักงาน, อำนาจ",กฏหมาย,
369,ทำ,"ประกาศ, ภาพโฆณา, เอกสาร",,
370,ส่งเสียง,ประชาชน,"ตกใจ, เดือดร้อน",
371,พก,"อาวุธ, เมือง",ชุมนุม,
372,ทะเลาะ,,สาธารณะ,
373,ควบคุม,บุคคลวิกลจริต,,
374,เห็น,,อันตราย,
375,ทำ,"รางระบายน้ำ, ร่องน้ำ",,
376,ยิง,"ปืน, เมือง",,
377,ควบคุม,"สัตว์ดุ, สัตว์ร้าย",,
378,เสพย์,"สุรา, ของเมา",,
379,"ชัก, แสดง",อาวุธ,"วิวาท, ต่อสู้",
380,ทำ,"ปฏิกูล, บ่อ, สระ, น้ำ",,
381,"ทำ, ทารุณ",สัตว์์,,
382,ใช้,สัตว์,"ป่วย, เจ็บ",
383,,"เพลิงไหม้, เจ้าหน้าที่",,
384,"แกล้ง, บอกเล่า","ความเท็จ, ประชาชน",ตื่นตกใจ,
385,รับอนุญาต,,"ปลอดภัย, สะดวก",
386,ขุด,"หลุม, ราง",,
387,"แขวน, ติดตั้ง",,"อันตราย, สาธารณะ",
388,ทำ,,"ขายหน้า, เปลือย, ลามก",
389,ทำ,ของแข็ง,"อันตราย, สาธารณะ",
390,ทำ,,"ประมาท, อันตราย, จิตใจ",
391,ใช้,กำลัง,"อันตราย, ตกใจ",
392,ทำ,,"กลัว, ตกใจ, ขู่",
393,หมิ่น,โฆษณา,,
394,"ไล่, ต้อน","สัตว์, สวน, ไร่",,
395,ควบคุม,"สัตว์, สวน, ไร่",,
396,ทิ้งซาก,สัตว์,"ริมทาง, สาธารณะ",
397,ทำ,,"ริงแก, ข่มเหง, คุกคาม",
398,ทำ,"เด็ก, คนป่วย, คนชรา",ทารุณ,
